Stock Name,Ticker,12 Month Sales Growth,5 Year Sales Growth,12 Month EPS Growth,5 Year EPS Growth,Last Quarter EPS Surprise %,Estimated EPS Growth Next Year
Linde,LIN,-2.99%,169.51%,331.08%,93.33%,1.90%,10.71%
Wells Fargo,WFC,53.28%,12.68%,66.67%,27.55%,14.55%,8.27%
PDD Holdings,PDD,46.01%,2382.73%,179.31%,,82.64%,23.95%
T-Mobile US,TMUS,-2.56%,81.59%,,102.17%,9.29%,23.61%
Adobe,ADBE,9.80%,119.37%,13.25%,112.03%,-1.12%,12.78%
Alibaba,BABA,5.22%,164.06%,44.09%,266.00%,14.13%,12.07%
Danaher,DHR,-7.66%,43.69%,-33.78%,56.84%,11.63%,14.15%
Disney,DIS,3.84%,46.63%,-132.47%,-112.82%,8.04%,14.29%
Accenture,ACN,2.51%,54.88%,12.90%,96.88%,4.14%,6.78%
Cisco,CSCO,13.53%,16.91%,6.85%,39.29%,2.86%,-7.01%
McDonald's,MCD,13.62%,21.36%,96.88%,65.79%,-0.37%,8.30%
GE Aerospace,GE,18.21%,-42.74%,,-103.57%,22.39%,22.61%
Applied Materials,AMAT,6.16%,44.79%,6.90%,75.47%,6.09%,12.50%
Abbott Laboratories,ABT,-11.36%,28.47%,-31.58%,90.24%,2.08%,10.82%
Texas Instruments,TXN,-13.07%,12.80%,-23.67%,33.57%,13.21%,20.66%
Verizon,VZ,-3.53%,1.22%,-11.29%,10.00%,2.68%,1.96%
American Express,AXP,20.89%,56.11%,12.45%,57.07%,12.12%,14.91%
TotalEnergies SE,TTE,-26.85%,11.78%,-24.07%,18.84%,9.18%,0.99%
HSBC,HSBC,119.17%,,172.63%,,0.00%,7.24%
Caterpillar,CAT,21.56%,23.60%,81.15%,101.06%,9.38%,6.19%
NextEra Energy,NEE,41.79%,80.88%,97.14%,245.00%,13.75%,8.24%
Amgen,AMGN,5.94%,15.30%,4.90%,-26.15%,5.32%,5.65%
Pfizer,PFE,-54.10%,-5.44%,-76.30%,-36.92%,46.43%,15.55%
Intuit,INTU,6.85%,106.66%,17.52%,62.91%,6.28%,13.47%
Morgan Stanley,MS,2.47%,26.83%,-10.79%,-4.62%,19.53%,13.03%
Philip Morris,PM,14.49%,16.06%,-29.37%,-28.37%,6.38%,10.65%
Comcast,CMCSA,1.66%,40.39%,34.21%,47.83%,6.12%,6.18%
Royal Bank Of Canada,RY,76.23%,101.48%,5.13%,27.33%,5.91%,9.26%
IBM,IBM,-0.39%,-22.64%,12.42%,-34.10%,5.66%,4.14%
BHP Group,BHP,,,,,0.00%,-2.29%
Goldman Sachs,GS,-8.17%,13.07%,-60.16%,-48.49%,35.60%,8.81%
NIKE,NKE,4.83%,31.01%,-25.84%,-7.04%,42.03%,5.90%
RTX,RTX,12.27%,9.64%,2.27%,-64.84%,8.94%,13.89%
Intuitive Surgical,ISRG,15.36%,93.10%,38.82%,63.89%,6.42%,20.00%
Union Pacific,UNP,-4.88%,5.13%,-12.29%,29.80%,7.60%,10.49%
Micron Technology,MU,-56.58%,-51.88%,-173.93%,-155.81%,164.29%,2306.90%
Unilever,UL,,,,,0.00%,7.37%
ConocoPhillips,COP,-41.41%,39.44%,-53.54%,32.37%,2.01%,16.35%
Uber Technologies,UBER,14.33%,233.45%,,,-252.38%,155.29%
ServiceNow,NOW,22.72%,240.70%,4980.00%,,29.08%,28.46%
S&P Global,SPGI,3.61%,92.73%,-44.06%,-12.09%,8.97%,12.84%
Eaton,ETN,12.55%,6.91%,24.00%,33.81%,5.26%,11.74%
Honeywell,HON,2.16%,-16.24%,20.65%,32.14%,3.21%,8.96%
Intel,INTC,-15.48%,-23.66%,,-66.67%,-100.00%,866.67%
Mitsubishi UFJ Financial,MUFG,22.95%,,0.00%,,116.67%,-100.00%
AT&T,T,0.92%,-23.26%,8.93%,-24.69%,3.77%,4.46%
Charles Schwab,SCHW,-8.58%,87.29%,-26.44%,6.67%,1.37%,35.37%
Stryker,SYK,11.20%,50.39%,12.21%,62.18%,6.38%,11.97%
Booking Holdings,BKNG,27.20%,54.42%,65.59%,73.32%,45.33%,18.02%
Lowe's,LOW,-9.17%,19.48%,-2.36%,145.16%,4.08%,9.98%
ARM Holdings,ARM,,,-54.55%,,-81.25%,60.00%
Elevance Health,ELV,13.05%,90.34%,15.75%,95.73%,0.95%,11.76%
Sanofi,SNY,3.36%,,-4.44%,,0.00%,13.32%
Progressive,PGR,33.29%,91.49%,,-52.10%,16.56%,3.78%
Lam Research,LRCX,-30.81%,2.60%,-30.89%,6.15%,7.30%,18.94%
UPS,UPS,-10.95%,26.35%,-25.54%,41.52%,7.52%,16.06%
Citigroup,C,63.85%,56.78%,-39.27%,-18.40%,22.48%,19.97%
Vertex Pharmaceuticals,VRTX,13.52%,231.47%,12.46%,340.00%,17.21%,4.20%
TJX,TJX,3.31%,35.61%,55.10%,35.71%,6.90%,10.02%
