Stock Name,Ticker,12 Month Sales Growth,5 Year Sales Growth,12 Month EPS Growth,5 Year EPS Growth,Last Quarter EPS Surprise %,Estimated EPS Growth Next Year
RH,RH,-22.79%,32.61%,-75.62%,74.26%,-57.89%,71.41%
Balchem,BCPC,-2.30%,41.27%,1.09%,52.46%,-5.32%,8.29%
F.N.B,FNB,56.08%,57.38%,30.00%,50.00%,3.03%,9.29%
Ultrapar Participacoes S.A,UGP,-20.23%,-5.15%,-50.00%,-33.33%,0.00%,-12.50%
Avnet,AVT,2.86%,29.56%,-33.20%,221.15%,-0.90%,3.56%
Itron,ITRI,25.28%,-7.65%,,657.14%,45.88%,10.89%
GATX,GATX,9.75%,-1.80%,2385.71%,72.28%,16.86%,3.42%
Flowers Foods,FLO,6.86%,27.19%,-17.50%,37.50%,-5.00%,6.45%
Pegasystems,PEGA,8.72%,51.58%,,,-10.00%,18.67%
Signet Jewelers,SIG,-9.26%,12.66%,,,6.32%,13.77%
MSC Industrial Direct,MSM,10.00%,27.30%,-5.06%,21.58%,1.72%,11.60%
Enact Holdings,ACT,1.45%,,-16.80%,,5.05%,0.00%
Harley-Davidson,HOG,-1.60%,-15.63%,-16.44%,-15.86%,16.22%,6.47%
Exponent,EXPO,7.63%,46.64%,2.04%,47.06%,28.26%,6.77%
Kite Realty Group Trust,KRG,3.04%,127.56%,150.00%,,0.00%,3.90%
Varonis Systems,VRNS,3.56%,85.59%,,,0.00%,2.04%
Stericycle,SRCL,-1.52%,-24.20%,-590.91%,-274.19%,5.56%,16.38%
Enstar Group,ESGR,,-35.80%,,235.00%,0.00%,
Apellis Pharmaceuticals,APLS,481.92%,,,,0.00%,-187.50%
Arcadium Lithium,ALTM,7.82%,118.54%,38.71%,38.71%,100.00%,52.00%
StepStone Group,STEP,-52.74%,,-6.00%,,17.86%,22.35%
Bank OZK,OZK,62.17%,66.50%,38.24%,60.23%,4.86%,3.77%
Hanover Insurance,THG,16.36%,32.73%,-407.94%,-183.98%,17.67%,23.52%
Asbury Automotive,ABG,-5.26%,117.13%,2.98%,342.65%,-7.33%,2.46%
Oscar Health,OSCR,49.56%,,,,121.43%,-1500.00%
Polaris,PII,7.46%,47.52%,,62.24%,283.33%,13.61%
Inspire Medical Systems,INSP,65.32%,1281.08%,,,46.03%,475.00%
Merit Medical Systems,MMSI,8.50%,42.37%,29.63%,66.67%,8.45%,9.31%
SLM,SLM,7.86%,65.58%,-14.73%,358.33%,16.51%,7.64%
United States Cellular,USM,-6.82%,-1.75%,-80.00%,-91.07%,-23.08%,74.14%
Home BancShares,HOMB,29.65%,74.61%,550.00%,18.18%,6.52%,2.54%
Radian Group,RDN,1.25%,-9.04%,-20.87%,-5.21%,24.10%,-0.28%
Essential Properties Realty Trust,EPRT,21.09%,299.26%,29.63%,3400.00%,5.00%,8.33%
BRP,DOOO,27.95%,105.14%,25.22%,1340.00%,7.69%,57.20%
Vornado Realty Trust,VNO,4.16%,-12.82%,-7.69%,-58.62%,-5.17%,1.40%
CommVault Systems,CVLT,0.09%,12.47%,250.00%,,31.25%,14.71%
Clearwater Analytics Holdings,CWAN,22.44%,,,,0.00%,38.46%
"Vista Oil & Gas, S.A.B De C.V",VIST,-21.51%,109.43%,-50.94%,,-44.94%,33.18%
White Mountains Insurance Group,WTM,393.35%,209.40%,,650.00%,0.00%,
PennyMac Financial Services,PFSI,-34.21%,37.76%,-51.32%,58.57%,5.98%,18.10%
Camtek,CAMT,-7.31%,142.15%,-5.00%,216.67%,14.00%,17.45%
ZoomInfo Technologies,ZI,15.54%,,125.00%,,28.57%,8.70%
Portland General Electric,POR,9.64%,44.32%,-45.83%,-23.53%,10.00%,4.87%
Brink's,BCO,7.26%,43.13%,-6.85%,,23.58%,21.03%
Franklin Electric,FELE,3.27%,65.47%,0.79%,98.44%,-5.41%,9.13%
Krystal Biotech,KRYS,,,,,-85.00%,110.19%
PACS,PACS,,,,,26.67%,19.23%
CRISPR Therapeutics AG,CRSP,7346.81%,5047.06%,,,12.27%,-19.42%
Encore Wire,WIRE,-24.07%,88.98%,-43.88%,598.84%,0.26%,10.36%
Ormat Technologies,ORA,15.21%,9.25%,100.00%,,-4.41%,16.91%
Gates Industrial,GTES,3.25%,6.99%,21.05%,-20.69%,3.57%,22.73%
Lazard,LAZ,0.56%,-15.15%,-253.26%,-224.78%,13.79%,46.20%
Hafnia,HAFN,,,,,0.00%,-20.00%
Impinj,PI,43.80%,201.30%,,,45.16%,2150.00%
Nuvei,NVEI,45.31%,,-69.57%,,-17.86%,37.70%
Fluence Energy,FLNC,124.40%,,,,0.00%,435.71%
TransMedics,TMDX,155.70%,1696.92%,,,800.00%,39.47%
Select Medical Holdings,SEM,5.67%,29.19%,41.86%,74.29%,40.00%,12.38%
Scorpio Tankers,STNG,-18.71%,132.23%,-21.57%,,6.72%,-11.25%
Matson,MATX,-38.67%,38.83%,-76.19%,197.37%,5.05%,-2.86%
Rayonier,RYN,-15.21%,-15.06%,-18.75%,-53.57%,25.00%,23.91%
IQIYI,IQ,6.43%,59.10%,200.00%,,66.67%,10.53%
ImmunityBio,IBRX,0.00%,,,,-25.00%,-30.67%
VERRA MOBILITY CORP,VRRM,9.05%,108.21%,-13.33%,,4.17%,22.02%
Patterson-UTI Energy,PTEN,21.96%,-11.18%,300.00%,,15.38%,54.55%
Madison Square Garden,MSGS,-27.56%,,-135.40%,,-43.53%,8.38%
United Bankshares,UBSI,40.43%,78.08%,-4.23%,7.94%,-1.54%,4.58%
PowerSchool Holdings,PWSC,10.35%,,,,-23.08%,20.00%
NexGen Energy,NXE,,,-250.00%,,-33.33%,-46.67%
Algonquin Power & Utilities,AQN,1.37%,71.48%,,-364.29%,-6.67%,9.09%
Alight,ALIT,12.73%,,-240.00%,,0.00%,26.00%
StoneCo,STNE,27.48%,,,,3.57%,11.72%
H B Fuller,FUL,-9.57%,13.79%,-15.12%,-15.12%,3.08%,17.13%
RadNet,RDNT,13.92%,65.19%,-7.69%,9.09%,177.78%,8.47%
Western Union,WU,2.78%,-17.09%,-6.00%,0.00%,12.50%,5.11%
Enersys,ENS,9.14%,44.93%,132.35%,22.48%,2.97%,14.07%
Sasol,SSL,,,,,0.00%,22.35%
National Beverage,FIZZ,0.87%,17.35%,5.56%,-2.56%,0.00%,
American Eagle Outfitters,AEO,0.23%,24.46%,,-26.47%,21.43%,8.62%
Power Integrations,POWI,-33.03%,12.55%,-72.92%,0.00%,0.00%,97.30%
ASGN,ASGN,-0.95%,28.73%,-13.48%,93.65%,0.00%,11.74%
NewJersey Resources,NJR,-52.19%,-51.41%,-85.71%,,6.06%,-2.04%
Huntsman,HUN,-26.45%,-33.61%,-90.00%,-93.57%,25.00%,260.98%
Hilton Grand Vacations,HGV,6.22%,78.86%,18.33%,-35.45%,9.20%,9.64%
First Financial Bankshares,FFIN,14.11%,62.91%,-14.29%,28.57%,5.71%,4.73%
BGC,BGC,13.15%,0.42%,-225.00%,-145.45%,0.00%,7.61%
Haemonetics,HAE,14.88%,30.34%,205.26%,176.19%,2.27%,12.31%
Arcosa,ACA,-2.99%,65.67%,6.33%,82.61%,28.07%,16.91%
Academy Sports And Outdoors,ASO,-5.73%,,-29.59%,,-2.19%,12.33%
Credo Technology,CRDO,-14.50%,,,,-200.00%,133.33%
Dun & Bradstreet Holdings,DNB,3.24%,,,,6.25%,11.24%
Glacier Bancorp,GBCI,21.29%,84.86%,-27.54%,-3.85%,-12.12%,40.24%
Grand Canyon Education,LOPE,5.42%,-11.08%,20.00%,1.05%,5.86%,10.26%
Nuvalent,NUVL,,,,,-2.99%,16.34%
Moelis,MC,-25.83%,-18.39%,-130.36%,-123.61%,100.00%,108.46%
Assured Guaranty,AGO,300.00%,63.64%,,207.46%,39.01%,11.63%
FormFactor,FORM,-23.53%,15.06%,-97.37%,-91.67%,-44.44%,45.83%
Workiva,WK,17.84%,162.17%,,,0.00%,-43.55%
Freedom Holding,FRHC,146.63%,2342.32%,,,0.00%,
Advance Auto Parts,AAP,0.77%,15.45%,-39.92%,-10.06%,-2.90%,17.29%
Group 1 Automotive,GPI,9.97%,54.87%,1.18%,342.65%,-0.32%,1.06%
Main Street Capital,MAIN,49.74%,113.10%,560.00%,41.94%,1.94%,-3.20%
Hims & Hers Health,HIMS,83.08%,,,,150.00%,83.33%
Acushnet,GOLF,4.67%,44.18%,19.78%,105.66%,15.32%,11.18%
Northern Oil And Gas,NOG,7.95%,612.86%,-31.39%,,11.30%,17.50%
Logistic Properties Of The Americas,LPA,,,,,0.00%,
Herc Holdings,HRI,25.31%,65.19%,11.76%,,-4.84%,15.15%
Liberty Energy,LBRT,26.77%,90.26%,58.18%,22.54%,-11.11%,20.24%
CorVel,CRVL,8.22%,29.16%,-5.45%,121.28%,0.00%,
Alpha Metallurgical Resources,AMR,-35.77%,62.29%,-59.43%,69.83%,-0.21%,29.75%
Tower Semiconductor,TSEM,-16.19%,6.58%,-13.21%,24.32%,25.00%,1.20%
Kontoor Brands,KTB,0.40%,-7.21%,-41.28%,-40.19%,28.89%,16.28%
Cactus,WHD,79.66%,120.74%,-13.64%,-17.39%,11.94%,18.37%
Avient,AVNT,-7.47%,-9.88%,-73.91%,-61.90%,10.14%,16.48%
Enersis Chile S.A,ENIC,-1.12%,,,,0.00%,
Integer Holdings,ITGR,14.27%,27.21%,14.52%,16.39%,1.79%,15.37%
Avis Budget,CAR,-3.73%,34.15%,-29.92%,3340.63%,-1.90%,33.97%
Hancock Whitney,HWC,43.46%,52.11%,-2.17%,64.63%,8.47%,1.42%
Concentrix,CNXC,2.97%,,-29.44%,,-1.27%,11.60%
PagSeguro Digital,PAGS,10.05%,152.29%,10.00%,46.67%,10.00%,10.08%
Columbia Banking System,COLB,129.64%,395.99%,4.92%,12.28%,22.64%,7.79%
CNX Resources,CNX,99.73%,108.82%,1546.67%,1200.00%,25.00%,33.81%
Capri Holdings,CPRI,-9.63%,2.16%,-70.71%,-66.39%,-41.67%,7.80%
Silicon Laboratories,SLAB,-6.95%,12.79%,-45.00%,3.13%,-3.88%,-135.16%
Skyline,SKY,-35.97%,44.22%,-56.37%,,-7.46%,22.10%
Blackbaud,BLKB,2.31%,26.85%,,-71.43%,7.50%,14.98%
Advanced Energy Industries,AEIS,-5.77%,111.96%,-39.50%,-38.46%,-31.37%,65.24%
UMB Financial,UMBF,41.08%,116.59%,-34.63%,66.67%,33.51%,4.40%
Terex,TEX,30.27%,11.98%,118.69%,212.00%,16.79%,1.83%
Shake Shack,SHAK,17.79%,133.75%,,-38.46%,30.00%,39.19%
Knife River,KNF,10.31%,,47.06%,,-5.00%,9.38%
IAC,IAC,-18.42%,,,,18.42%,-60.98%
Alkermes,ALKS,123.52%,102.67%,,,-38.30%,-7.49%
Baldwin Insurance,BWIN,27.85%,,-385.71%,,28.95%,37.27%
Scotts Miracle-Gro,SMG,-5.68%,12.48%,,-47.62%,10.15%,39.10%
IPG Photonics,IPGP,-9.83%,-17.80%,19.09%,-40.72%,8.33%,44.77%
CSW Industrials,CSWI,12.92%,134.44%,50.00%,314.29%,9.68%,16.85%
Schneider National,SNDR,-22.92%,8.91%,-41.10%,16.22%,-15.38%,79.35%
Kilroy Realty,KRC,4.83%,51.96%,17.50%,74.07%,4.72%,0.71%
Box,BOX,6.26%,76.38%,,,150.00%,322.22%
International Game Technology,IGT,3.33%,-12.25%,,-70.89%,58.62%,30.72%
BRF S.A,BRFS,4.26%,8.28%,,,50.00%,-20.69%
Phillips Edison,PECO,6.75%,,0.00%,,0.00%,4.98%
Belden Inc,BDC,3.86%,3.53%,22.14%,226.53%,18.10%,29.46%
Urban Outfitters,URBN,5.87%,30.15%,69.70%,47.37%,40.82%,9.83%
Black Hills,BKH,-13.27%,15.63%,-32.69%,-12.50%,0.00%,-100.00%
AllianceBernstein Holding,AB,,,-23.19%,-10.17%,2.82%,14.53%
Kemper,KMPR,-10.93%,70.21%,,-308.22%,-1.83%,18.08%
Freshworks,FRSH,19.48%,,,,22.22%,-41.18%
Simply Good Foods,SMPL,2.61%,202.89%,-7.89%,250.00%,2.86%,10.59%
HudBay Minerals Inc,HBM,-24.86%,-15.92%,-141.67%,-155.56%,433.33%,46.30%
Inter Parfums,IPAR,26.36%,107.03%,26.74%,211.43%,-18.59%,11.07%
"Copa Holdings, S.A",CPA,51.73%,21.29%,553.19%,-4.66%,28.13%,10.45%
Sanmina,SANM,9.08%,21.71%,2.40%,172.34%,-4.59%,26.54%
Seadrill,SDRL,63.64%,,,,19.12%,128.57%
Clarivate,CLVT,-2.59%,174.89%,,,20.00%,9.68%
CBIZ,CBZ,10.10%,71.29%,-11.67%,130.43%,-1.91%,11.31%
Companhia Paranaense De Energia (COPEL),ELP,1.32%,7.89%,,-100.00%,0.00%,-100.00%
ACI Worldwide,ACIW,-5.02%,37.59%,-150.00%,,150.00%,12.63%
Braze,BRZE,31.33%,,,,6.45%,-8.47%
Hannon Armstrong Sustainable Infrastructure Capital,HASI,18.36%,105.67%,,-56.25%,26.00%,10.86%
Sterling Infrastructure,STRL,13.10%,94.37%,47.67%,323.33%,21.95%,9.06%
Otter Tail,OTTR,-15.58%,49.20%,-4.88%,314.89%,0.00%,-100.00%
Nelnet,NNI,26.82%,23.71%,-66.81%,-38.02%,32.12%,0.00%
Independence Realty Trust,IRT,5.94%,249.67%,,25.00%,-6.90%,7.02%
Helmerich & Payne,HP,31.57%,11.57%,481.25%,,1.18%,2.31%
Perrigo,PRGO,6.37%,0.56%,,-76.92%,20.83%,24.42%
Boston Beer,SAM,-2.10%,120.91%,9.51%,138.38%,1200.00%,20.70%
Piper Sandler,PIPR,-18.02%,77.83%,-81.75%,-46.51%,47.62%,-100.00%
GMS,GMS,1.20%,105.11%,3.43%,686.96%,-0.62%,5.14%
Aurora Innovation,AUR,,,,,0.00%,
Immunovant,IMVT,,,,,-20.93%,-13.71%
Bloom Energy,BE,23.79%,78.29%,,,-56.25%,-107.69%
Synaptics,SYNA,-52.29%,-41.49%,-127.94%,,53.33%,-433.33%
TFS Financial,TFSL,49.84%,37.35%,0.00%,-14.29%,16.67%,
Chemours,CC,-14.20%,-9.53%,-300.00%,-264.71%,28.00%,73.40%
Hecla Mining,HL,-6.86%,20.96%,,-200.00%,150.00%,100.00%
Tri Pointe Homes,TPH,-17.72%,8.56%,-54.89%,42.86%,49.28%,13.14%
Cleanspark,CLSK,46.70%,,,,116.67%,-2166.67%
B2Gold Corp,BTG,-23.16%,154.72%,-116.67%,,20.00%,73.08%
Axcelis Technologies,ACLS,23.87%,129.59%,40.91%,332.56%,24.60%,24.65%
Iridium Communications Inc,IRDM,10.40%,43.12%,-700.00%,,0.00%,28.38%
Q2 Holdings,QTWO,10.13%,163.84%,,,20.00%,-720.00%
Allete,ALE,42.96%,55.01%,34.33%,47.54%,-11.01%,7.20%
CareTrust REIT,CTRE,8.41%,32.28%,-104.76%,-105.88%,-5.41%,7.59%
Valley National Bancorp,VLY,65.70%,166.36%,50.00%,28.57%,-5.00%,19.54%
Sitio Royalties,STR,55.43%,418.70%,-102.56%,,-52.38%,56.10%
Methanex,MEOH,-17.40%,-1.11%,-48.23%,-46.32%,116.67%,88.37%
Boot Barn Holdings,BOOT,4.88%,136.88%,-12.40%,370.83%,13.48%,20.21%
Crane NXT,CXT,5.51%,-58.59%,-12.79%,-43.18%,-1.16%,9.30%
Envestnet,ENV,-2.01%,55.35%,,,3.03%,20.79%
C3.ai,AI,0.12%,,,,23.38%,-16.44%
Primo Water,PRMW,3.83%,-1.71%,,62.50%,38.46%,16.85%
Nordstrom,JWN,-10.87%,-10.67%,-1076.92%,-349.02%,-200.00%,-1.67%
Sibanye Gold,SBSW,,,,,0.00%,262.50%
Wendy's,WEN,4.42%,36.64%,27.27%,133.33%,9.52%,9.00%
Warrior Met Coal,HCC,-39.27%,17.70%,-72.47%,-8.14%,30.20%,8.74%
Zeta Global Holdings,ZETA,25.14%,,,,8.00%,-157.89%
Insperity,NSP,10.68%,71.87%,-62.07%,-43.10%,13.04%,17.94%
ManpowerGroup,MAN,-4.30%,-14.16%,-43.67%,-40.55%,4.44%,35.60%
Plainss,PAGP,-29.08%,43.59%,56.25%,400.00%,-19.23%,20.79%
Cohen & Steers Inc,CNS,-18.18%,27.77%,-39.62%,1.59%,0.00%,
Rush Enterprises,RUSHA,11.82%,48.50%,-8.59%,265.63%,10.00%,32.55%
Spire,SR,-6.58%,19.37%,,-192.31%,-10.62%,5.54%
Artisan Partners Asset Management,APAM,-3.38%,14.41%,22.58%,5.56%,-3.80%,4.40%
Spirit Aerosystems Holdings,SPR,8.49%,-25.71%,,-249.62%,-793.18%,-164.47%
International Bancshares,IBOC,54.31%,49.86%,76.09%,105.06%,0.00%,
Cousins Properties,CUZ,10.04%,75.19%,-34.78%,-25.00%,3.17%,1.14%
NCino,NCNO,17.68%,,,,0.00%,400.00%
LG Display,LPL,-31.84%,-30.91%,-6900.00%,,-42.11%,-60.61%
Surgery Partners,SGRY,8.48%,52.91%,,,50.00%,30.95%
Goodyear Tire & Rubber,GT,-6.62%,26.71%,-225.86%,-212.31%,0.00%,63.78%
Crinetics Pharmaceuticals,CRNX,125.00%,,,,-10.71%,7.08%
Apple Hospitality REIT,APLE,7.10%,4.91%,0.00%,0.00%,0.00%,1.22%
Liberty Media - Liberty Live Series C,LLYVK,,,,,-7800.00%,-100.00%
Melco Resorts & Entertainment,MLCO,220.13%,-22.85%,,-141.67%,100.00%,103.57%
SL Green Realty,SLG,9.74%,-26.58%,,-546.83%,32.33%,-32.01%
Axsome Therapeutics,AXSM,429.48%,,,,9.17%,-95.11%
ONE Gas,OGS,-7.20%,36.10%,-1.69%,48.72%,-1.69%,8.05%
Sweetgreen,SG,22.10%,,,,-9.52%,-27.40%
Grupo Aeroportuario Del Centro Norte S.A.B De C.V,OMAB,40.51%,99.49%,56.84%,106.94%,4.20%,10.48%
YETI Holdings,YETI,-4.16%,95.14%,-16.98%,91.30%,36.84%,13.62%
M/I Homes,MHO,-2.56%,81.69%,-13.99%,329.17%,20.71%,0.22%
Korn/Ferry,KFY,1.53%,51.14%,-46.15%,26.39%,8.08%,13.19%
PNM Resources,PNM,-4.52%,35.44%,194.44%,10.42%,-39.71%,4.44%
Virtu Financial,VIRT,-16.19%,54.47%,-79.49%,-33.33%,23.53%,10.78%
Five9,FIVN,17.69%,264.66%,,,50.00%,-104.35%
Ameris Bancorp,ABCB,35.92%,221.07%,-30.00%,279.17%,3.77%,6.54%
Joby Aviation,JOBY,,,,,12.50%,-1.45%
Axonics,AXNX,34.66%,928800.00%,,,-660.00%,407.69%
Comstock Resources,CRK,-69.54%,369.02%,-112.50%,,62.50%,-955.56%
Diodes,DIOD,-6.75%,53.62%,1.14%,261.22%,3.70%,125.56%
PROCEPT BioRobotics,PRCT,98.32%,,,,7.27%,-23.32%
Potlatch,PCH,-31.56%,-8.25%,-83.72%,-61.64%,100.00%,50.91%
Black Stone Minerals,BSM,-35.13%,7.04%,-40.68%,191.67%,-22.86%,8.84%
Sabra Healthcare REIT,SBRA,3.34%,-3.09%,28.57%,-91.67%,6.06%,5.11%
DigitalOcean Holdings,DOCN,26.84%,,,,33.33%,3.85%
ServisFirst Bancshares,SFBS,45.70%,137.87%,-14.04%,58.06%,10.59%,16.00%
Victory Capital Holdings,VCTR,-5.45%,95.62%,-23.85%,219.23%,2.52%,10.62%
Liberty Media - Liberty Live Series A,LLYVA,,,,,-7800.00%,-100.00%
Kadant Inc,KAI,10.56%,58.19%,13.39%,135.19%,21.43%,8.29%
Griffon,GFF,-11.03%,32.31%,-65.38%,542.86%,43.62%,20.83%
Park Hotels & Resorts,PK,2.73%,-2.33%,-206.06%,-165.42%,23.81%,6.25%
Graham Holdings,GHC,18.40%,64.27%,,200.00%,0.00%,
Ultragenyx Pharmaceutical,RARE,21.23%,746.83%,,,-18.02%,-24.19%
Life Times,LTH,21.78%,,,,20.00%,32.61%
Howard Hughes Holdings,HHH,-19.29%,23.37%,-192.86%,,-51.43%,-108.92%
Envista Holdings,NVST,2.57%,,11.54%,,-16.13%,12.70%
Rush Enterprises,RUSHB,11.82%,48.50%,-8.59%,265.63%,0.00%,
Triple Flag Precious Metals,TFPM,44.12%,,14.29%,,9.09%,21.28%
Guardant Health,GH,25.66%,607.69%,,,0.00%,-8.01%
Tandem Diabetes Care,TNDM,-2.17%,474.04%,,,21.25%,-35.29%
LivaNova,LIVN,15.63%,2.22%,-93.33%,-93.55%,62.22%,11.20%
St Joe,JOE,87.79%,154.15%,106.90%,46.34%,0.00%,
Eldorado Gold,EGO,7.69%,50.07%,,,80.00%,-11.93%
Sensient Technologies,SXT,0.70%,3.10%,-11.96%,-11.96%,0.00%,-100.00%
Alarm Holdings,ALRM,5.18%,114.26%,42.86%,36.36%,12.90%,9.79%
JFrog,FROG,24.13%,,,,0.00%,-38.10%
United Parks & Resorts,PRKS,-1.74%,26.56%,-16.67%,419.23%,41.38%,7.69%
Hillenbrand Inc,HI,23.59%,60.67%,-8.82%,10.71%,1.33%,18.10%
Kratos Defense & Security Solutions,KTOS,14.59%,69.91%,,,500.00%,36.67%
Quaker Houghton,KWR,0.62%,123.21%,103.75%,13.19%,6.09%,15.09%
Macerich,MAC,4.06%,-9.46%,,-240.00%,-20.51%,1.16%
Steven Madden,SHOO,-16.76%,12.52%,-25.81%,21.05%,16.07%,11.45%
Innospec,IOSP,2.74%,34.15%,-10.08%,30.34%,6.71%,14.93%
California Resources,CRC,-20.88%,7.65%,-43.98%,,29.31%,
Playtika Holding,PLTK,-2.55%,,133.33%,,0.00%,0.00%
Vishay Intertechnology,VSH,3.31%,17.22%,-12.82%,4.62%,10.00%,90.80%
Brady,BRC,-0.42%,12.97%,23.08%,95.92%,6.86%,5.33%
Hagerty,HGTY,26.80%,,,,33.33%,33.33%
Walker & Dunlop,WD,-20.02%,52.99%,-49.07%,-34.92%,43.37%,-0.75%
Wolfspeed,WOLF,60.22%,37.74%,-413.79%,,3.66%,-1.28%
Instructure Holdings,INST,14.39%,,,,100.00%,23.33%
Associated Banc-Corp,ASB,74.99%,42.37%,0.00%,12.00%,6.12%,11.85%
HUTCHMED (China),HCM,,,,,0.00%,-206.67%
Medical Properties Trust,MPW,-15.70%,67.11%,-121.88%,-123.33%,-4.00%,7.95%
Enpro,NPO,-0.07%,-29.65%,-153.94%,-289.36%,1.95%,7.52%
Prestige Consumer Healthcare,PBH,0.81%,9.97%,-2.75%,63.08%,-10.53%,7.48%
Newell Brands,NWL,-13.02%,0.11%,-91.67%,-85.19%,100.00%,33.33%
Sunrun,RUN,0.96%,246.07%,,316.67%,31.03%,-40.98%
Hercules Capital,HTGC,61.16%,134.52%,,11.86%,4.17%,1.46%
NorthWestern,NWE,-10.06%,10.95%,-40.74%,-63.22%,-21.58%,4.53%
International Seaways,INSW,55.26%,413.44%,125.36%,,22.69%,-17.87%
Marriott Vacations Worldwide,VAC,1.20%,97.98%,-26.94%,456.41%,8.43%,10.46%
Sotera Health,SHC,-4.26%,,-27.27%,,-8.33%,17.46%
Archrock,AROC,14.69%,9.11%,45.45%,700.00%,18.18%,14.95%
Alliance Resource Partners,ARLP,3.54%,24.35%,5.69%,103.13%,12.87%,1.71%
Peabody Energy,BTU,-4.02%,-3.10%,-54.72%,27.78%,0.00%,5.41%
J & J Snack Foods,JJSF,11.98%,39.03%,123.46%,30.22%,33.33%,12.67%
Resideo Technologies,REZI,-4.98%,33.95%,-46.03%,25.93%,42.42%,5.88%
Teradata,TDC,7.44%,-15.07%,,466.67%,-8.82%,43.86%
"NextEra Energy Partners, LP",NEP,-3.31%,55.56%,-79.69%,-62.68%,525.00%,-43.39%
Sendas Distribuidora S.A,ASAI,70.18%,,-42.86%,,0.00%,72.41%
Ringcentral,RNG,10.76%,235.33%,,,500.00%,98.15%
Arch Resources,ARCH,-33.18%,27.85%,-79.07%,96.12%,6.81%,62.09%
Brinker,EAT,5.29%,31.62%,38.20%,28.13%,7.83%,10.83%
Corcept Therapeutics,CORT,13.86%,88.93%,4.17%,78.57%,19.05%,49.47%
Travel + Leisure,TNL,2.93%,-5.76%,7.76%,-66.84%,14.12%,12.30%
Under Armour,UAA,-2.38%,,0.00%,,57.14%,47.83%
Constellium SE,CSTM,-12.18%,20.96%,,-51.06%,-55.56%,40.11%
Tronox Holdings,TROX,-15.98%,61.38%,-172.57%,-693.10%,-600.00%,101.41%
DoubleVerify Holdings,DV,21.79%,,16.67%,,33.33%,33.33%
Merus,MRUS,-17.35%,34.36%,,,28.92%,-10.48%
ATS,ATS,,,,,17.07%,14.86%
Qifu Technology,QFIN,-23.10%,,-29.31%,,2.00%,11.97%
Granite Real Estate,GRP.U,12.77%,101.29%,,-67.86%,3.23%,8.42%
Hayward Holdings,HAYW,-29.02%,,-55.17%,,0.00%,22.81%
CNO Financial,CNO,19.63%,-2.25%,-67.84%,4.92%,-18.75%,12.99%
EPR Properties,EPR,7.77%,-14.77%,-78.26%,-91.30%,3.70%,3.86%
Biohaven,BHVN,,,,,-46.67%,-7.26%
Osisko Gold Royalties,OR,-10.16%,-57.87%,0.00%,,9.09%,10.20%
Mercury General,MCY,37.88%,22.34%,,-168.81%,420.00%,34.48%
IES Holdings,IESC,3.02%,151.29%,145.45%,102.50%,0.00%,
Greif Bros,GEF.B,-21.50%,35.18%,-14.00%,309.52%,0.00%,
Visteon,VC,15.92%,29.68%,-17.65%,-40.17%,-8.00%,22.38%
SpringWorks Therapeutics,SWTX,,,,,-0.85%,-28.48%
"AXOS FINANCIAL, INC",AX,79.46%,179.02%,48.96%,146.55%,12.79%,6.80%
Construction Partners,ROAD,10.94%,116.27%,78.26%,41.38%,71.43%,22.70%
Embotelladora Andina S.A,AKO.B,12.49%,33.46%,-50.00%,-16.67%,0.00%,7.64%
Sprinklr,CXM,19.58%,,,,133.33%,47.06%
Fulton Financial,FULT,50.99%,59.61%,9.52%,130.00%,2.56%,17.76%
Greif,GEF,-21.50%,35.18%,-14.00%,309.52%,535.00%,29.50%
United Community Banks,UCBI,50.41%,128.19%,-13.11%,8.16%,4.00%,11.79%
BBB Foods,TBBB,,,,,0.00%,566.67%
Innovative Industrial Properties,IIPR,8.44%,2209.97%,1.41%,747.06%,5.24%,3.41%
Consol Energy,CEIX,21.36%,59.17%,39.55%,212.66%,54.79%,2.16%
WD-40,WDFC,14.60%,32.41%,28.97%,20.00%,0.88%,12.26%
John Bean Technologies,JBT,8.55%,-12.95%,-6.73%,-6.73%,3.66%,8.54%
Tanger,SKT,4.54%,-7.58%,21.05%,-4.17%,1.96%,4.37%
Under Armour,UA,-2.38%,,0.00%,,0.00%,-100.00%
Blackstone Mortgage Trust,BXMT,83.96%,172.56%,7.41%,-12.12%,36.36%,-17.98%
Cal-Maine Foods,CALM,16.14%,55.42%,0.00%,52.70%,0.00%,-42.57%
SITE CENTERS CORP,SITC,-1.79%,-34.68%,-96.30%,,16.67%,-14.29%
TORM,TRMD,86.34%,139.24%,1400.00%,17900.00%,0.00%,-31.02%
Plexus,PLXS,4.10%,40.64%,-57.89%,-29.11%,8.05%,63.78%
Baytex Energy Corp,BTE,-31.70%,74.22%,8.00%,,-110.00%,20.00%
SkyWest,SKYW,-9.19%,-9.92%,-67.29%,-75.52%,16.94%,17.18%
First BanCorp,FBP,20.42%,63.81%,2.63%,178.57%,15.79%,6.82%
ABM Industries,ABM,4.54%,25.51%,8.33%,95.00%,19.44%,5.04%
Amedisys,AMED,-0.88%,34.35%,-370.33%,-351.02%,1.98%,8.75%
Olink Holding AB (publ),OLK,7.02%,,,,-8.33%,-110.53%
Stride,LRN,6.21%,102.41%,56.92%,325.00%,8.84%,10.33%
RLX Technology,RLX,-93.30%,,-112.50%,,0.00%,
